Region;Zone;Woreda;Pcode;Belg_2010;Kiremt_2010;Kiremt_2011;Kiremt_2012;Belg_2013;Kiremt_2013;Belg_2014;Kiremt_2014;Kiremt_2015;Belg_2016;Kiremt_2016;Kiremt_2017;Belg_2018;Frequency;Affected_pop
Oromia;East Harareg;Chinaksen;ET041015;;;;;1518;;;;;; 1,200 ;;;2; 1,359 
Oromia;East Harareg;Golo Oda;ET041017;;;;;;;;;;; 980 ;; 1 ;2; 491 
Oromia;East Harareg;Goro Gutu;ET041010; 166 ;;;;;;;;;;; 1 ;;2; 84 
Oromia;East Harareg;Gursum;ET041003;;;;;;;;;;; 4,750 ; 1 ;;2; 2,376 
Oromia;East Harareg;Haro Maya;ET041006; 1,435 ;;;;;;;;;; 3,305 ;;;2; 2,370 
Oromia;East Harareg;Meta;ET041009; 1,128 ;;;;;;;;;; 1,400 ;;;2; 1,264 
Tigray;Eastern;Kelete Awelallo;ET010306;;20;;;;;;;;;; 7,975 ;;2; 3,998 
Somali;Liben;Moyale;ET050903;;;;;;;;;;;;; 1 ;1; 1 
Afar;Fenti (Zone 4);Yalo;ET020404;;;;;;;;;1;;1;;;2; 1 
SNNPR;KT;Kediada Gambela;ET070303;;;;;;;;;1; 2,326 ; 23,443 ;;;3; 8,590 
SNNPR;KT;Hadero Tubito;ET070305;;;;;;;;;1;;1;;;2; 1 
SNNPR;KT;Daniboya;ET070307;;;;;;;;;;; 7,025 ;;;1; 7,025 
SNNPR;Segen Peoples';Amaro;ET071302;;;;;;;;;; 1 ;;;;1; 1 
Oromia;East Harareg;Fedis;ET041005;;;;;;;;;;; 340 ;;;1; 340 
SNNPR;Segen Peoples';Shay Bench;ET071303; 345 ;;;;;;;;;;;;;1; 345 
Hareri;Hareri;Harar;ET130101; 4,580 ;;;;;;;;; 1 ;;;;2; 2,291 
SNNPR;Selti;Lanfero;ET072003;;;;;;;;;1; 1 ; 22,616 ; 66 ;;4; 5,671 
Amahra;North Shewa(R3);Gishe Rabel;ET030506;;;; 21 ;;;;;;;;;;1; 21 
Amahra;North Shewa(R3);Menz Gera Midir;ET030505;;;; 80 ;;;;;;;;;;1; 80 
Amahra;North Shewa(R3);Menz Keya Gabriel;ET030521;;;; 23 ;;;;;;;;;;1; 23 
Amahra;North Shewa(R3);Menz Lalo Midir;ET030522;;;; 1 ;;;;;;;;;;1; 1 
Oromia;East Harareg;Goro Muti;ET041089;;;;;;;;;;;; 1 ;;1;
Oromia;East Harareg;Kersa;ET040405;;;;;;;;;;; 135 ;;;1; 135 
Oromia;East Harareg;Kombolcha;ET041001; 153 ;;;;;;;;;;;;;1; 153 
Oromia;East Harareg;Kumbi;ET041098;;;;;;;;;;; 1,400 ;;;1; 1,400 
Amahra;North Shewa(R3);Menz Mama Midir;ET030509;;;; 1 ;;;;;;;;;;1; 1 
Amahra;North Shewa(R3);Shoa Robit;ET030595;;;; 1,920 ;;;;;;;;;;1; 1,920 
Amahra;North Shewa(R3);Assagirt;ET030514;;;;;;;;;;;;;;0;
SNNPR;Selti;Sankura;ET072006; 970 ;;;;;;;;1;; 9,462 ;;;3; 3,478 
Somali;Shabelle;Kelafo;ET050605; 22,235 ;; 19,200 ; 1 ;14575; 1 ; 46,151 ;1;1; 90,954 ; 100,506 ;; 58,713 ;11; 32,031 
Somali;Shabelle;Mustahil;ET050606; 35,317 ;; 21,000 ; 1 ;;1; 44,330 ;1;1; 28,050 ; 43,140 ;; 34,375 ;10; 20,622 
Tigray;South East;Saharti Samre;ET010601;;;;;;;;;1;;65;;;2; 33 
SNNPR;Selti;Dalocha;ET072005;;;;;;;;;1;; 5,385 ;;;2; 2,693 
SNNPR;Sidama;Loka Abaya;ET070414; 4,103 ;;;;297;;;;1; 3,675 ; 6,402 ;; 1 ;6; 2,413 
SNNPR;Sidama;Hawassa Zuria;ET070402; 6,624 ;;;;;;;;1;; 18,569 ;;;3; 8,398 
