name;pcode;pcode_parent;Land area;Violent incidents last year;% persons with disability;% Access to safe drinking water;Nr. of educational facilities per 10,000 people;% Access to electricity;Average elevation;% employed;Drought exposure;Earthquake exposure;Flood exposure;Nr. of health facilities per 10,000 people;% Access improved sanitation;% Literacy;% having mosquito nets;% of orphans under 18;Population density;Population;Poverty incidence;% permanent roof type;% Subsistence farming;Travel time to nearest city;% permanent wall type;% with internet access;% with mobile access;# of displaced persons;# of displaced / local population;pcode_level2;Violent incidents last year (0-10);Drought exposure (0-10);Earthquake exposure (0-10);Flood exposure (0-10);Hazards exposure;% persons with disability (0-10);% employed (0-10);% Literacy (0-10);% having mosquito nets (0-10);% of orphans under 18 (0-10);Poverty incidence (0-10);% permanent roof type (0-10);% Subsistence farming (0-10);% permanent wall type (0-10);Vulnerability;% Access to safe drinking water (0-10);Nr. of educational facilities per 10,000 people (0-10);% Access to electricity (0-10);Nr. of health facilities per 10,000 people (0-10);% Access improved sanitation (0-10);Travel time to nearest city (0-10);% with internet access (0-10);% with mobile access (0-10);Lack of Coping Capacity;Risk score
Nakasongola;21UGA011012;21UGA011;35.111.235;0;0.1623;0.635;107.768;0.1496;1.063.332;0.8056;0.3749;0;0.0015;15.327;0.2084;0.7104;0.9191;0.0787;594.632;2.087.827.041;0.5701;0.7054;0.6451;1.621.148;0.522;0.064;0.423;null;null;21UGA011012;0;69.963;0;3.359;31.893;57.951;17.758;56.356;35.895;34.208;53.059;32.142;65.586;45.603;45.845;42.692;5.614;83.596;49.101;50.675;74.578;88.857;49.928;65.332;49.253
Kaberamaido;21UGA013003;21UGA013;16.253.843;0;0.1809;0.9062;58.232;0.0503;10.623.823;0.8348;0.1689;0;0.0002;10.416;0.1231;0.7131;0.9618;0.0783;1.299.536;2.112.245.731;0.6133;0.2101;0.8933;957.958;0.1587;0.063;0.232;null;null;21UGA013003;0;43.789;0;0.6684;1.459;67.024;14.544;55.701;1.295;33.819;58.755;86.962;91.298;8.539;63.954;0.9268;78.084;95.707;70.265;74.663;62.331;89.143;77.489;75.178;56.424
Namayingo;21UGA005010;21UGA005;46.670.205;0;0.1505;0.4628;9.682;0.0501;11.373.544;0.8118;0.2316;0;0.0013;0.8659;0.1382;0.5855;0.9255;0.0687;272.207;1.270.396.777;0.6191;0.4898;0.7402;1.704.665;0.2012;0.04;0.303;null;null;21UGA005010;0;54.142;0;30.534;24.347;52.195;17.076;86.657;32.456;2.449;5.952;56.004;75.438;80.736;5.898;63.914;6.099;95.731;77.837;70.416;75.748;95.714;67.244;78.839;58.458
Rukungiri;21UGA009006;21UGA009;15.216.614;0;0.1208;0.5861;81.214;0.1197;13.449.716;0.745;0.1962;0;0.0003;16.465;0.1525;0.7638;0.9655;0.1022;2.953.537;4.494.281.924;0.6377;0.9562;0.7928;1.892.359;0.1133;0.051;0.394;null;null;21UGA009006;0;4.87;0;0.9618;17.073;37.707;2.443;43.401;10.962;57.046;61.973;0.4383;80.887;90.363;52.902;48.718;67.903;87.242;44.197;66.395;7.818;92.571;54.113;7.1;50.783
Mubende;21UGA011009;21UGA011;27.099.786;0;0.1168;0.3702;70.949;0.1602;12.754.556;0.8622;0.1336;0;0.0001;11.595;0.1848;0.6994;0.917;0.0798;1.336.665;3.622.333.623;0.6966;0.8998;0.766;2.179.536;0.4147;0.048;0.401;null;null;21UGA011009;0;36.112;0;0.3494;1.12;35.756;11.527;59.025;37.023;35.277;69.739;10.625;7.811;57.354;47.863;75.327;72.451;82.303;65.184;57.312;81.469;93.429;53.102;74.842;49.914
Pakwach;21UGA015007;21UGA015;10.238.351;0;0.1893;0.468;23.604;0.0555;6.876.145;0.8779;0.1074;0;0.0002;12.458;0.1529;0.6039;0.9711;0.0998;1.489.667;1.525.173.433;0.6648;0.156;0.8604;1.624.811;0.0666;0.055;0.249;null;null;21UGA015007;0;28.977;0;0.6684;0.967;71.122;0.9799;82.193;0.7953;54.713;65.546;9.295;8.789;95.477;72.194;63.273;93.424;95.073;61.465;66.282;74.631;91.429;75.036;80.444;61.641
Rubanda;21UGA009004;21UGA009;6.872.449;0;0.1512;0.7363;54.498;0.0591;21.037.932;0.8723;0.0955;0;0;1.031;0.1031;0.7205;0.9705;0.0818;3.951.555;2.715.686.021;0.6112;0.9799;0.8955;2.019.375;0.0847;0.032;0.302;null;null;21UGA009004;0;25.144;0;0;0.6903;52.537;10.415;53.906;0.8275;37.221;58.478;0.176;91.526;93.495;55.495;30.207;79.738;94.633;70.722;80.287;79.692;9.8;67.388;79.741;5.446
Luuka;21UGA005008;21UGA005;648.968;0;0.1067;0.9382;60.602;0.083;11.013.045;0.7391;0.2815;0;0;1.021;0.2043;0.6815;0.9598;0.0558;4.678.485;3.036.186.611;0.6117;0.9197;0.8212;762.955;0.8065;0.04;0.291;null;null;21UGA005008;0;60.548;0;0;19.852;30.829;2.508;63.367;14.025;11.953;58.544;0.8423;83.829;14.445;40.225;0.5324;77.034;91.719;71.153;51.828;57.032;95.714;68.975;71.709;47.707
Soroti;21UGA013009;21UGA013;14.123.308;0;0.1406;0.9291;54.876;0.1335;10.748.833;0.7898;0.1778;0;0.0001;0.9146;0.2087;0.7164;0.9463;0.0745;2.245.059;3.170.765.611;0.653;0.3777;0.708;585.328;0.3207;0.073;0.308;null;null;21UGA013009;0;45.472;0;0.3494;14.475;47.366;19.498;54.901;21.279;30.126;6.399;68.412;72.102;67.649;52.513;0.6446;79.571;85.559;75.738;50.591;50.862;86.286;66.522;6.795;48.588
Kaliro;21UGA005006;21UGA005;8.693.555;0;0.1312;0.9394;6.124;0.0833;10.576.429;0.8528;0.2082;0;0.0009;0.7066;0.1729;0.6015;0.8684;0.045;2.930.176;2.547.364.663;0.6955;0.6698;0.8563;1.153.139;0.6758;0.031;0.259;null;null;21UGA005006;0;50.647;0;2.353;21.191;4.278;12.562;82.775;63.138;0.1458;69.594;36.082;87.465;28.759;54.378;0.5176;76.752;91.682;84.702;60.658;66.648;98.286;73.593;76.592;5.506
